@relation 'World Happiness Report 2024-weka.filters.unsupervised.attribute.Remove-R1,2,6_transformed_reordered'

@attribute 'Log GDP per capita' numeric
@attribute 'Social support' numeric
@attribute 'Freedom to make life choices' numeric
@attribute Generosity numeric
@attribute 'Perceptions of corruption' numeric
@attribute 'Positive affect' numeric
@attribute 'Negative affect' numeric
@attribute 'Life Ladder Numeric' numeric
@attribute 'Life Ladder Category' {'Very Sad',Sad,Neutral,Happy,'Very Happy'}

@data
5.501249,9.49682,0.906509,0.865221,0.053742,0.828658,0.766731,5.501249,Neutral
4.521518,8.278234,0.652852,0.678644,-0.030991,0.894611,0.638586,4.521518,Neutral
6.476357,8.68531,0.838044,0.922163,0.005833,0.672963,0.793321,6.476357,Happy
6.289749,8.900547,0.859052,0.695863,0.160768,0.794835,0.804731,6.289749,Happy
5.648155,8.573054,0.77391,0.850047,0.076099,0.792875,0.790041,5.648155,Neutral
5.65019,9.937241,0.85598,0.626431,-0.057015,0.768923,0.527321,5.65019,Neutral
6.859836,10.174415,0.897391,0.783183,-0.010511,0.795797,0.837662,6.859836,Happy
6.275267,8.591471,0.838567,0.817321,0.099424,0.698808,0.782329,6.275267,Happy
4.666833,7.609438,0.795505,0.822848,-0.103484,0.726062,0.751706,4.666833,Neutral
6.481847,9.167495,0.743965,0.942021,-0.10375,0.495585,0.811923,6.481847,Happy
6.260993,10.018916,0.89333,0.825189,-0.130209,0.810037,0.724068,6.260993,Happy
6.325115,9.392351,0.844905,0.95556,-0.159114,0.655275,0.710068,6.325115,Happy
4.499486,9.249168,0.711322,0.59123,-0.205732,0.932746,0.451362,4.499486,Neutral
3.602855,7.703959,0.675447,0.725685,-0.060192,0.802781,0.676122,3.602855,Sad
3.831992,9.502946,0.545118,0.567259,-0.197258,0.741541,0.57841,3.831992,Sad
7.614929,9.681845,0.899782,0.886061,0.056549,0.786559,0.839989,7.614929,Happy
5.212623,8.214752,0.624768,0.686452,-0.059419,0.740589,0.594482,5.212623,Neutral
4.015275,8.173461,0.826555,0.620296,-0.025507,0.909447,0.733151,4.015275,Neutral
5.233867,9.661829,0.799955,0.752107,-0.065312,0.855697,0.44687,5.233867,Neutral
4.197182,8.181071,0.667009,0.759862,-0.156587,0.902262,0.554681,4.197182,Neutral
4.561169,7.252151,0.658794,0.776308,-0.047382,0.798496,0.555735,4.561169,Neutral
4.555141,8.37898,0.712758,0.965093,0.011983,0.844353,0.759147,4.555141,Neutral
6.469611,10.543589,0.926417,0.781795,-0.076045,0.729347,0.639075,6.469611,Happy
4.90682,8.178815,0.609189,0.758472,0.048823,0.854231,0.812712,4.90682,Neutral
4.983289,9.806897,0.708228,0.654868,-0.012099,0.920828,0.446395,4.983289,Neutral
4.292048,8.620229,0.60615,0.53958,0.018322,0.669012,0.707503,4.292048,Neutral
7.577528,10.655128,0.916583,0.819777,-0.008337,0.726004,0.558295,7.577528,Happy
4.133956,7.245167,0.811873,0.726269,0.007621,0.910441,0.497324,4.133956,Neutral
6.839087,8.893871,0.734113,0.670932,-0.109693,0.647528,0.841432,6.839087,Happy
5.037208,9.177827,0.787171,0.824162,-0.191885,0.798496,0.710055,5.037208,Neutral
5.490347,9.892936,0.794905,0.51492,-0.192064,0.810896,0.53223,5.490347,Neutral
5.055807,8.578564,0.554225,0.717105,-0.004343,0.715897,0.625795,5.055807,Neutral
6.552654,10.575329,0.881319,0.733975,-0.232167,0.751126,0.493287,6.552654,Happy
5.580282,9.912045,0.839096,0.769191,0.0279,0.843691,0.752467,5.580282,Neutral
6.048007,10.251161,0.814689,0.956837,0.207742,0.789023,0.766982,6.048007,Happy
4.255859,8.225716,0.805326,0.635457,0.005159,0.917921,0.758244,4.255859,Neutral
5.030342,9.471557,0.897573,0.56365,-0.231316,0.896237,0.508998,5.030342,Neutral
6.620951,11.040596,0.863716,0.935979,0.117763,0.798496,0.66342,6.620951,Happy
5.057262,8.389938,0.685112,0.679418,0.035145,0.897836,0.709004,5.057262,Neutral
3.851072,8.089928,0.689601,0.653423,-0.020481,0.907068,0.588019,3.851072,Sad
6.007022,10.228021,0.89309,0.793462,-0.098369,0.810096,0.630627,6.007022,Happy
5.080803,5.727656,0.887672,0.625526,0.123792,0.83934,0.729553,5.080803,Neutral
7.169621,9.316229,0.955278,0.838198,-0.077811,0.7198,0.802929,7.169621,Happy
4.864528,9.577229,0.757219,0.599594,0.130298,0.709902,0.504637,4.864528,Neutral
4.55583,6.918029,0.817661,0.779515,-0.059708,0.549093,0.709998,4.55583,Neutral
5.02547,9.237955,0.787818,0.781496,-0.12703,0.722211,0.66342,5.02547,Neutral
3.434801,7.3692,0.724308,0.36033,0.022183,0.961074,0.571168,3.434801,Sad
5.082851,8.087361,0.527814,0.630931,-0.091407,0.776004,0.505847,5.082851,Neutral
5.448006,8.525729,0.894054,0.850305,0.012386,0.643579,0.761726,5.448006,Neutral
6.396359,10.737302,0.867101,0.560455,-0.122529,0.798496,0.691676,6.396359,Happy
4.221345,8.461865,0.737613,0.960693,0.06996,0.799152,0.683386,4.221345,Neutral
6.137612,9.512768,0.899491,0.921781,-0.013915,0.839272,0.820757,6.137612,Happy
5.083987,9.455393,0.91303,0.648763,-0.094357,0.798496,0.724232,5.083987,Neutral
5.515816,9.587919,0.898519,0.740251,0.13195,0.916052,0.601871,5.515816,Neutral
3.993021,9.847507,0.829132,0.603213,-0.199145,0.962047,0.536721,3.993021,Sad
4.611607,9.409772,0.8625,0.902075,0.311648,0.859471,0.789435,4.611607,Neutral
4.96681,8.584093,0.746248,0.787448,0.111473,0.856666,0.644655,4.96681,Neutral
6.568398,11.128389,0.824137,0.915036,0.191898,0.798496,0.722089,6.568398,Happy
4.482537,8.716377,0.83255,0.653488,-0.135232,0.829283,0.538073,4.482537,Neutral
2.904535,6.722985,0.564678,0.431385,-0.059029,0.807619,0.621642,2.904535,Sad
5.440524,10.212976,0.910099,0.714766,-0.121996,0.847705,0.632024,5.440524,Neutral
6.237958,10.567411,0.878201,0.836101,0.012063,0.712469,0.704203,6.237958,Happy
4.635509,7.686984,0.657544,0.644102,0.063951,0.736159,0.619716,4.635509,Neutral
5.219998,10.351527,0.855961,0.875093,-0.178886,0.961977,0.670633,5.219998,Neutral
3.675108,8.993416,0.646636,0.552593,-0.272559,0.751934,0.352652,3.675108,Sad
3.754156,7.976453,0.693801,0.449475,0.354996,0.853506,0.583196,3.754156,Sad
6.930903,9.97658,0.922481,0.707385,0.050934,0.880651,0.776063,6.930903,Happy
6.026585,10.594094,0.897899,0.623531,-0.070517,0.91996,0.658745,6.026585,Happy
5.096902,9.97441,0.941755,0.689047,-0.160294,0.9108,0.541951,5.096902,Neutral
5.806782,9.893046,0.802811,0.779566,0.039717,0.883766,0.727531,5.806782,Neutral
5.173389,9.577899,0.886756,0.854249,-0.220027,0.457261,0.576897,5.173389,Neutral
7.290032,11.063135,0.95598,0.964561,0.067519,0.445697,0.777275,7.290032,Happy
7.082465,9.60675,0.936938,0.88242,0.051644,0.797522,0.815273,7.082465,Happy
4.233245,7.96766,0.733602,0.637778,0.056425,0.883494,0.538319,4.233245,Neutral
3.675627,7.313828,0.655214,0.528805,-0.026291,0.791056,0.641384,3.675627,Sad
5.59427,8.987416,0.851029,0.925703,-0.145832,0.711166,0.753484,5.59427,Neutral
4.914467,10.139876,0.877318,0.673728,-0.118785,0.911533,0.646606,4.914467,Neutral
5.908039,10.63716,0.877651,0.806472,-0.261007,0.617188,0.693277,5.908039,Neutral
3.852395,7.682535,0.803419,0.654182,0.050515,0.859006,0.707001,3.852395,Sad
4.02422,9.751795,0.865969,0.447001,-0.097875,0.890416,0.327681,4.02422,Neutral
6.28689,8.562274,0.855703,0.817625,0.036721,0.631003,0.775327,6.28689,Happy
5.94225,10.118997,0.869122,0.659177,-0.110307,0.860492,0.740562,5.94225,Neutral
3.831719,7.581259,0.521104,0.495901,0.160098,0.731109,0.479835,3.831719,Sad
5.936241,9.405165,0.938647,0.908906,0.034334,0.902551,0.873761,5.936241,Neutral
3.728098,8.101115,0.717196,0.888741,-0.00876,0.716396,0.659846,3.728098,Sad
6.01274,8.654224,0.852702,0.716534,0.034975,0.731465,0.786972,6.01274,Happy
4.413919,8.309402,0.504608,0.36033,0.092337,0.847683,0.532505,4.413919,Neutral
5.213895,9.636955,0.713478,0.828686,-0.16017,0.626641,0.509061,5.213895,Neutral
